site,name,employer,location,salary_min,salary_max,salary_currency,link
hh.ru,Разработчик Python Middle/Senior,Кадровый холдинг ПРОФИЛЬ,,350000,,руб,https://sosnovoborsk.hh.ru/vacancy/69501064
hh.ru,Lead Python Developer,BestDoctor,,300000,,руб,https://sosnovoborsk.hh.ru/vacancy/69859275
hh.ru,Senior Python Developer,GRI,,,350000,руб,https://sosnovoborsk.hh.ru/vacancy/42615019
hh.ru,Junior+ Python разработчик,Sibdev,,80000,120000,руб,https://sosnovoborsk.hh.ru/vacancy/69337199
hh.ru,Python разработчик (Django),АО РТ Лабс,,,,,https://sosnovoborsk.hh.ru/vacancy/69629142
hh.ru,Python developer,ООО АЙТИ.СПЕЙС,,180000,200000,руб,https://sosnovoborsk.hh.ru/vacancy/68030307
hh.ru,Senior Python разработчик,ANABAR,,,,,https://sosnovoborsk.hh.ru/vacancy/69250619
hh.ru,Python developer,INSITECH Development,,,,,https://sosnovoborsk.hh.ru/vacancy/69711589
hh.ru,Инженер-программист Python,ООО Айдеко,,,,,https://sosnovoborsk.hh.ru/vacancy/67029599
hh.ru,Программист Python,ООО Эйч-Эль-Эль,,,,,https://sosnovoborsk.hh.ru/vacancy/69592160
hh.ru,Python-разработчик (команда Scrooge),"VK, Цифровые технологии",,,,,https://sosnovoborsk.hh.ru/vacancy/67710064
hh.ru,Python Developer,Improvado,,,,,https://sosnovoborsk.hh.ru/vacancy/68929792
hh.ru,Senior backend developer (Python),Skipp.pro,,,,,https://sosnovoborsk.hh.ru/vacancy/69670516
hh.ru,Python developer,INSITECH Development,,,,,https://sosnovoborsk.hh.ru/vacancy/69711590
hh.ru,Ведущий Python разработчик,IT and Digital,,6500,,USD,https://sosnovoborsk.hh.ru/vacancy/69311231
hh.ru,Python Backend Developer (Senior/Remote),JetLend,,,300000,руб,https://sosnovoborsk.hh.ru/vacancy/69700725
hh.ru,Software engineer (Python),"Hi, Rockits!",,300000,500000,руб,https://sosnovoborsk.hh.ru/vacancy/68526108
hh.ru,"Python developer, удаленно",«РОСБАНК»,,,,,https://sosnovoborsk.hh.ru/vacancy/69589057
hh.ru,Разработчик Python,Bell Integrator,,,,,https://sosnovoborsk.hh.ru/vacancy/69418840
hh.ru,Python Developer,"МАГНИТ, Розничная сеть",,,,,https://sosnovoborsk.hh.ru/vacancy/69375127
hh.ru,Team Lead/Senior Python Developer (remote),BestDoctor,,300000,,руб,https://sosnovoborsk.hh.ru/vacancy/68829981
hh.ru,Python Разработчик / Fastapi (удаленно),Т1 Интеграция,,,,,https://sosnovoborsk.hh.ru/vacancy/69369308
hh.ru,Разработчик Python,Bell Integrator,,,,,https://sosnovoborsk.hh.ru/vacancy/69352570
hh.ru,Разработчик Python,Тинькофф,,,,,https://sosnovoborsk.hh.ru/vacancy/69271201
hh.ru,Разработчик Python (backend),Первый Бит,,200000,350000,руб,https://sosnovoborsk.hh.ru/vacancy/69237409
hh.ru,Программист Python,LIFE PAY,,,,,https://sosnovoborsk.hh.ru/vacancy/69517956
hh.ru,Разработчик Python,Тинькофф,,,,,https://sosnovoborsk.hh.ru/vacancy/69271162
hh.ru,Python разработчик (Цифровой ассистент Робот Макс),АО РТ Лабс,,,,,https://sosnovoborsk.hh.ru/vacancy/67825460
hh.ru,Python разработчик (Middle / Senior),"X5 GROUP, Девелопмент",,,,,https://sosnovoborsk.hh.ru/vacancy/69245844
hh.ru,Python Backend Developer (Middle/Remote),JetLend,,,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69425009
hh.ru,Python backend Middle/Senior developer,PENA,,,,,https://sosnovoborsk.hh.ru/vacancy/69278697
hh.ru,Team lead Python,ООО АЙТИ.СПЕЙС,,200000,210000,руб,https://sosnovoborsk.hh.ru/vacancy/68030700
hh.ru,QA Engineer Python (autotest),Finstar Financial Group,,120000,,руб,https://sosnovoborsk.hh.ru/vacancy/69272018
hh.ru,Преподаватель Python,"К Телеком,ООО",,,,,https://sosnovoborsk.hh.ru/vacancy/69772801
hh.ru,Python Developer (DWH),"Emerging Travel Group (Ostrovok.ru, B2B.Ostrovok, RateHawk, ZenHotels)",,,,,https://sosnovoborsk.hh.ru/vacancy/69454163
hh.ru,Python Developer,ЕВРАЗ. ИТ-специалисты,,,,,https://sosnovoborsk.hh.ru/vacancy/69537598
hh.ru,Автор проверочного кода (Python/C++) на курс С++ разработчик,Яндекс Практикум,,,,,https://sosnovoborsk.hh.ru/vacancy/68943742
